model,prompt_id,prompt_text,response_id,response,gender,race,age
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,1,"**OPENING SCENE**

**FADE IN:**

**EXT. CITY BUS STOP – EARLY MORNING**

Gray light. The kind of morning that hasn’t decided if it wants to rain.

Cars hiss across wet pavement. A bus shelter flickers under a tired fluorescent bulb.

A handful of people wait in silence.

* A nurse half-asleep with coffee.
* A construction worker scrolling his phone.
* A kid with a skateboard.

And **JAMIE PARKER (32)**.

Unremarkable. Hoodie, cheap backpack, holding a dented lunchbox.

Jamie studies the bus schedule like it personally wronged him.

The digital sign glitches.

**BUS – 12 MIN**

Jamie sighs.

He pulls out his phone. The cracked screen lights up with a text notification:

**BOSS:**
*If you're late again, don't bother coming.*

Jamie stares at it.

A long beat.

He types.

Deletes.

Types again.

Deletes.

Finally just shoves the phone back in his pocket.

A stray dog wanders near the shelter, sniffing trash.

Jamie crouches, breaks a piece of his sandwich, and offers it.

The dog hesitates… then takes it.

Jamie smiles a little.

Across the street—

A **CITY BUS** barrels toward the intersection.

The traffic light turns **RED**.

But the bus **doesn't slow down**.

Inside the bus—

Through the windshield we glimpse the **DRIVER slumped over the wheel**.

Jamie notices.

At first, he just squints.

Something feels wrong.

The bus keeps coming.

Too fast.

Straight toward the crowded crosswalk where pedestrians have just started to walk.

Jamie looks around.

No one else notices.

The nurse is on her phone.

The construction worker has headphones in.

The bus horn BLARES weakly as the vehicle drifts.

Jamie freezes.

This is not a hero moment.

No music. No destiny.

Just panic.

**JAMIE**
(under his breath)
Oh no… oh no…

The bus is seconds from plowing into the crowd.

Jamie looks left.

Right.

He could step back.

Pretend he didn't see.

No one would blame him.

Instead—

Jamie **drops his lunchbox** and sprints into the street.

Cars HONK.

Jamie waves his arms like a lunatic.

**JAMIE**
HEY! HEY!

The pedestrians look up—confused.

The bus is almost there.

Jamie grabs a woman by the arm and **yanks her back onto the sidewalk**.

**JAMIE**
MOVE! MOVE!

People scatter just as—

The bus **ROARS through the crosswalk**, missing them by inches.

But it’s still rolling.

Still out of control.

Jamie watches it careen toward a row of parked cars… and a gas station beyond.

He takes one breath.

The kind you take before doing something very stupid.

Then Jamie **runs after the bus**.

Cut to:

**TITLE CARD.**

*HEROES ARE USUALLY THE LAST PEOPLE WHO APPLY FOR THE JOB.*

**CUT TO BLACK.**
",M,W,32
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,2,"FADE IN:

EXT. SMALL CITY BUS STOP – EARLY MORNING

A pale sunrise washes over a tired neighborhood. Traffic hums. People scroll their phones. Steam rises from a nearby sewer grate.

A CITY BUS wheezes to a stop.

Standing at the curb is ALEX RIVERA (32) — rumpled jacket, coffee-stained shirt, the universal expression of someone already losing the day.

Alex fumbles with a backpack zipper. It’s broken.

A granola bar falls out.

Alex sighs.

ALEX
(to himself)
Great. Fantastic start.

The bus doors open with a mechanical HISS.

Alex steps on and immediately trips on the first stair.

A few passengers glance up. One chuckles.

Alex pretends nothing happened and taps their transit card.

DRIVER
Morning.

ALEX
Debatable.

Alex moves down the aisle, clutching coffee like it’s life support. Every seat is taken except one — next to a giant man asleep with headphones.

Alex squeezes in.

The bus lurches forward.

Coffee sloshes. Alex barely saves it.

ALEX
Whoa— okay… we’re good.

Alex exhales. Just another ordinary commute.

Outside the window, the city slides by: bakeries opening, kids walking to school, construction workers yelling over jackhammers.

Then—

SCREECHING TIRES.

The bus jolts violently.

People shout.

Alex’s coffee flies across the aisle.

DRIVER (O.S.)
What the—?!

The bus stops at a crooked angle in the middle of the intersection.

Passengers murmur nervously.

Alex looks out the window.

Up ahead—

A DELIVERY TRUCK sits sideways across the street.

Smoke curls from under its hood.

The DRIVER of the truck stumbles out — panicked.

And then Alex sees it.

The truck begins to ROLL BACKWARD DOWN THE HILL.

Right toward a crowded crosswalk.

Kids.

A stroller.

Nobody notices yet.

Inside the bus, people are still confused.

Phones come out.

Someone laughs nervously.

Alex stares.

Processing.

The truck rolls faster.

Alex stands.

PASSENGER
Hey— sit down!

Alex moves toward the bus door.

Heart pounding.

ALEX
(to driver)
Open it.

DRIVER
Are you serious?

The truck picks up speed.

People in the crosswalk still don’t see it.

Alex doesn’t wait.

They slam the emergency handle.

ALARM BLARES.

The door bursts open.

Alex jumps out.

Runs straight toward the runaway truck.

Passengers crowd the windows.

PASSENGER #2
Is that guy insane?

Alex sprints down the street — terrified, unprepared, completely unsure what they’re about to do.

But they run anyway.

The truck barrels downhill.

The crosswalk light turns green.

People step out.

Alex runs faster.

CUT TO BLACK.

TITLE CARD

NOT TODAY.",M,H,32
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,3,"**FADE IN:**

**EXT. CITY STREET – EARLY MORNING**

A gray, ordinary morning. Traffic hums. People shuffle past with coffee cups and headphones.

A bus wheezes to a stop.

**INT. CITY BUS – CONTINUOUS**

Packed. Half-asleep commuters. The soft hiss of brakes.

Near the back sits **ALEX RAMIREZ (30s)** — rumpled jacket, tired eyes, the kind of person you’d forget five seconds after seeing them.

Alex clutches a dented lunchbox.

Across the aisle, a LITTLE KID swings their feet. Their MOTHER scrolls through her phone.

The BUS DRIVER calls back.

**BUS DRIVER**
Last stop before downtown!

No one reacts.

Alex checks their watch. Late.

Again.

A text buzzes on their phone.

> **BOSS:** If you're late again, don't bother coming in.

Alex sighs. Mutters to themself.

**ALEX**
Great start.

The bus pulls into a busy intersection.

Outside, a delivery truck barrels through a red light.

Inside the bus, no one notices.

Except Alex.

Their eyes flick up.

Something feels wrong.

The truck is moving **way too fast**.

Alex stands suddenly.

**ALEX**
Wait—!

**CRASH.**

The truck slams into a parked car just ahead of the bus. Metal screams. The car skids sideways — directly into the bus’s path.

The bus driver SLAMS the brakes.

People scream. Coffee flies. The bus skids—

—toward the wreck.

For a split second, nobody moves.

Nobody except Alex.

Alex lunges forward, grabbing the driver’s shoulder and yanking the wheel.

The bus jerks sideways, scraping past the wreck instead of plowing into it.

Glass cracks. The bus screeches to a halt.

Silence.

Then chaos. People shouting.

The little kid stares wide-eyed.

The driver turns, stunned.

**BUS DRIVER**
You just— you—

Alex blinks, realizing what just happened.

Outside the window, smoke curls from the crashed truck.

From somewhere in the distance—

**sirens.**

Alex slowly sits back down.

Heart racing.

The little kid across the aisle looks at them like they’re a superhero.

Alex notices.

Awkward.

**ALEX**
...I just didn’t want to be late for work.

**CUT TO TITLE.**
",T,H,30
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,4,"**Opening Scene — “The Day Nobody Noticed”**

**FADE IN**

**EXT. CITY STREET – EARLY MORNING**

The city yawns awake. Delivery trucks hiss to a stop. A bus exhales a cloud of diesel. Someone curses over spilled coffee.

A billboard flickers to life above the street: **“BE EXTRAORDINARY.”**

Beneath it, people shuffle past with the blank efficiency of commuters.

Among them is **ALEX RIVERA**, early 30s, forgettable in the most perfect way. Slightly wrinkled shirt. Backpack that’s seen better days. The kind of person who apologizes when someone else bumps into them.

Alex waits at a crosswalk.

A cyclist nearly clips them.

Alex jumps back.

“Sorry!” Alex calls out.

The cyclist keeps going.

The light turns green. The crowd moves.

Alex hesitates, then follows.

**INT. CORNER COFFEE SHOP – MOMENTS LATER**

The morning rush. Espresso machines scream.

Alex steps up to the counter.

BARISTA
Next!

A beat.

BARISTA
(flat)
Oh. Hey, Alex.

Alex smiles politely.

ALEX
Large coffee. Black. Please.

BARISTA
Living dangerously today.

She pours the coffee.

Alex taps their card. The machine **declines**.

Alex winces.

ALEX
Uh… sorry—try it again?

It works this time.

Alex grabs the coffee and moves aside.

Behind them, two office workers argue about a news alert on a phone.

OFFICE WORKER #1
They still don’t know what caused it?

OFFICE WORKER #2
Nope. Just—boom. Power grid down across three states.

Alex glances at the phone screen.

A grainy headline: **“UNEXPLAINED EVENT SHUTS DOWN REGIONAL GRID.”**

Alex shrugs it off.

They take a sip.

Immediately burn their tongue.

ALEX
(hissing quietly)
Ah—ah—hot—

They bump into someone passing.

Coffee sloshes onto Alex’s sleeve.

ALEX
Sorry! Sorry, that’s my—

But the person is already gone.

Alex stares at the stain.

A long moment.

Then Alex sighs and exits.

**EXT. CITY STREET – CONTINUOUS**

Traffic surges.

Sirens wail somewhere distant.

A stray newspaper page skitters across the sidewalk.

It slaps against Alex’s leg.

Alex peels it off.

The headline reads:

**“SCIENTISTS WARN: ‘NEXT EVENT COULD BE WORSE.’”**

Alex crumples the page and tosses it in a trash can.

Just another weird news story.

Alex walks on.

Above them, unnoticed—

A **streetlight flickers violently**, electricity snapping inside the glass.

For a split second, the air around Alex **ripples**.

The light explodes with a sharp **POP**.

People nearby jump.

Alex turns, confused.

ALEX
Did that thing just—

No one answers.

Everyone keeps moving.

Alex shrugs.

And continues down the street.

**CUT TO BLACK**

**TITLE CARD:**
*NOT MY PROBLEM*

A beat.

*Yet.*
",T,H,30
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,5,"Opening Scene – “The Day Nothing Happened”

FADE IN.

EXT. CITY STREET – MORNING

A normal morning in a crowded city. Cars crawl through traffic. A bus sighs to a stop. Someone spills coffee. Someone laughs too loudly into a phone.

Nothing special.

A digital billboard flickers overhead.

WELCOME TO TUESDAY.

INT. CORNER CONVENIENCE STORE – CONTINUOUS

Fluorescent lights hum. The place is quiet except for a refrigerator compressor and the lazy flipping of a newspaper page.

Behind the counter sits ALEX, 29. Ordinary in every possible way. Half-awake. Wearing a name tag that says “Hi, I’m Alex.”

Alex scans a bottle of water for a customer.

REGISTER: BEEP.

CUSTOMER
Rough morning?

ALEX
They’re all rough before noon.

The customer chuckles and leaves.

Alex watches the door close. Silence again.

Alex flips the “OPEN” sign so it hangs straight. Adjusts a crooked candy rack. Stares at the security monitor showing four different camera angles of absolutely nothing happening.

Alex sighs.

ALEX (muttering)
Exciting life you got there.

Outside the window, a DISTANT SIREN wails somewhere in the city. Alex barely notices.

Alex grabs a notebook from under the counter. Inside are messy sketches: inventions, ideas, plans. None finished.

One drawing reads: “Something that actually matters.”

Alex flips the page. Stops.

There’s a scribbled note:

“Stop waiting for something big to happen.”

Alex snorts.

ALEX
Yeah. Okay.

The front door JINGLES as it opens.

A MAN in a dark hoodie steps in. Nervous. Looking around too carefully.

Alex straightens slightly.

The man walks to the counter, places a small duffel bag on it.

Silence.

The man slides a folded note across the counter.

Alex opens it.

The words read:

“I didn’t mean for this to happen.”

Before Alex can react—

Outside—

A MASSIVE EXPLOSION erupts three blocks away.

The windows rattle violently.

People scream in the street.

Car alarms start blaring.

Alex and the man both freeze.

The city outside shifts instantly from routine to chaos.

Alex looks from the burning smoke rising in the distance… back to the man… back to the bag.

A beat.

ALEX
…What did you do?

The man looks terrified.

MAN
I think… I just made you part of it.

Alex stares at the bag.

Slowly unzips it.

Inside is something strange. Complicated. Glowing faintly.

Alex doesn’t understand it.

Not yet.

But outside, people are running toward the smoke.

And for the first time all morning—

Alex stands up.

CUT TO TITLE.

TITLE CARD:
THE ACCIDENTAL HERO 🎬",T,UNKNOWN,29
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,6,"FADE IN:

EXT. CITY BUS STOP – EARLY MORNING

A gray dawn. Traffic hums. People stare at phones. A bus shelter covered in faded ads and graffiti.

Rain drips from the metal roof.

At the far end of the bench sits ALEX MARTIN (30s) — tired eyes, wrinkled office shirt, clutching a paper coffee cup like it's the only thing holding their life together.

A bus roars past without stopping.

Alex sighs.

A woman nearby argues quietly into her phone.

WOMAN
(whispering angrily)
I told you, the rent is due today.

A teenager scrolls through videos. Someone coughs. Life is mundane, repetitive.

Alex checks their watch.

7:42 AM.

Alex mutters to themselves.

ALEX
Of course.

They stand, pacing slightly, rehearsing something under their breath.

ALEX
(quietly practicing)
""I'm sorry I'm late again, it won't happen—""
(shakes head)
No. Too desperate.

Suddenly—

SCREECHING TIRES.

Everyone turns.

Across the street, a delivery truck swerves violently, smashing into a parked car. Metal crunches. Glass explodes.

The truck skids sideways.

People at the bus stop freeze.

The truck rolls—

ONCE.

TWICE.

It crashes onto its side.

Silence.

Smoke hisses from the engine.

No one moves.

Phones slowly come out. Someone starts recording.

Alex stands there, stunned.

Inside the wreck, a faint cry for help.

VOICE (O.S.)
Help…!

A flicker of orange.

FIRE.

The crowd murmurs but keeps their distance.

TEENAGER
Dude… it might blow.

Alex takes a step back.

Another cry from the truck.

Closer. Desperate.

Alex looks around.

No firefighters. No police.

Just people watching.

Alex’s breathing quickens.

ALEX
(to themselves)
Someone’s coming. Someone will—

The flames spread.

The driver inside pounds weakly on the cracked windshield.

Alex stares at the faces around them.

Waiting.

Filming.

Not moving.

Something shifts in Alex.

They set their coffee down.

Slowly remove their jacket.

WOMAN
Hey— what are you doing?

Alex doesn’t answer.

They step into the street.

Cars honk.

Alex jogs, then runs toward the burning truck.

The crowd gasps.

Alex reaches the wreck, coughing through smoke.

Inside: the DRIVER, trapped by the steering wheel.

Alex grabs the door handle.

It won't budge.

They pull harder.

Flames crawl along the engine.

Alex looks terrified.

ALEX
(to driver)
Okay… okay… I got you.

Alex braces their foot against the frame and yanks with everything they have.

The metal SCREAMS—

And the door RIPS OPEN.

The crowd erupts.

Phones now pointed at Alex.

Alex pulls the driver free just as the flames surge.

They collapse onto the pavement together.

A beat.

Then—

BOOM.

The truck erupts behind them.

Alex stares at the fire, shaking.

The driver grips Alex’s sleeve.

DRIVER
You… you came back.

Sirens begin to echo in the distance.

The people filming realize what they’re looking at.

Not an accident.

A moment.

Alex slowly looks around at the crowd staring.

Confused.

Breathless.

Like they’re wondering the same thing everyone else is.

How did I just do that?

CUT TO BLACK.

TITLE CARD: ORDINARY COURAGE 🎬🔥",T,H,30
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,7,"FADE IN:

EXT. CITY STREET – EARLY MORNING

A gray dawn settles over a tired city. The street is quiet except for the distant rumble of buses and the metallic clatter of a storefront gate rolling up.

People move with sleepy routine — a barista dragging out a chalkboard sign, a dog walker juggling three tangled leashes, a cyclist swerving through puddles.

And then there’s ALEX MARTIN (28).

Alex stands outside a small corner deli, staring at a crumpled piece of paper.

On the paper: “TODAY’S GOALS”

Be on time for work

Don’t spill coffee on shirt again

Try to be less… awkward

Alex sighs.

ALEX
Okay. Simple. Manageable. Human.

Alex steps inside the deli.

INT. CORNER DELI – CONTINUOUS

The deli is cramped and warm. The OWNER flips eggs on a grill. A radio crackles morning news no one is really listening to.

Alex approaches the counter.

ALEX
Uh… one coffee. Black.
(pauses)
Not because I’m tough. Just because I always forget sugar exists.

The owner nods, already pouring.

Alex turns — and immediately bumps into a construction worker.

Coffee splashes onto Alex’s shirt.

Beat.

Alex looks down.

ALEX
Well. Goal number two lasted… six minutes.

The construction worker shrugs apologetically.

Outside, a LOUD CRASH echoes down the street.

Everyone in the deli pauses.

Another crash.

Then shouting.

The owner turns up the radio — but it’s not the radio.

It’s coming from outside.

EXT. CITY STREET – MOMENTS LATER

People gather at the corner.

A delivery truck has rolled forward into the street — driver’s door open, engine still running.

Worse —

Across the crosswalk, a little girl stands frozen, staring as the truck slowly starts rolling downhill.

Her mother screams from the sidewalk.

The crowd hesitates.

Too fast. Too dangerous.

Alex steps out of the deli, holding the coffee.

Sees the truck.

Sees the girl.

Sees everyone waiting for someone else to move.

Alex looks at the coffee.

Looks at the list in their hand.

“Try to be less awkward.”

Alex sighs.

ALEX
…this is going to ruin my morning.

Alex drops the coffee.

And runs.

EXT. STREET – CONTINUOUS

The truck picks up speed.

Alex sprints into the street, waving wildly.

ALEX
HEY—HEY—HEY—MOVE! SMALL HUMAN! MOVE!

The girl doesn’t move.

Alex lunges forward—

Grabs the girl—

ROLLS across the pavement as the truck roars past.

The crowd gasps.

The truck slams into a parked car down the hill.

Silence.

Alex lies on the pavement, stunned, the girl sitting on top of them.

She blinks.

LITTLE GIRL
Are you a superhero?

Alex groans.

ALEX
I… really hope not.

Police sirens echo in the distance.

People begin cheering.

Alex looks around, confused.

Still lying on the street.

Still holding the crumpled goal list.

Goal #1 is crossed out.

Goal #2: coffee stain spreading across shirt.

Goal #3: “Try to be less awkward.”

Alex sighs.

ALEX
Yeah. We’re not doing great on the list today.

CUT TO TITLE CARD. 🎬",T,H,28
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,8,"FADE IN:

EXT. CITY BUS STOP – EARLY MORNING

The sky is gray with the kind of morning that hasn’t decided whether it wants to rain. Cars hiss across wet pavement. A handful of people wait at the bus stop, half-awake, scrolling on their phones.

At the edge of the group stands JAMIE PARK, 29, ordinary in every possible way. Slightly wrinkled shirt. Backpack slung over one shoulder. Coffee cup in hand.

Jamie stares at the bus tracker app on their phone.

INSERT – PHONE SCREEN
Route 18: Delayed – 12 minutes.

Jamie sighs.

A loud CRASH echoes somewhere down the street.

Nobody reacts much—just a few people glance up before returning to their phones.

Jamie looks toward the sound.

Down the block, a delivery truck has jumped the curb and smashed into a traffic light. Smoke hisses from the hood. The driver slumps over the steering wheel.

Jamie freezes.

A beat.

People nearby whisper.

COMMUTER #1
Someone should call 911.

COMMUTER #2
Yeah… somebody probably already did.

No one moves.

Jamie shifts awkwardly. Takes a step forward. Stops.

Jamie looks at their coffee. Looks at the bus tracker again.

Route 18: Delayed – 11 minutes.

Jamie exhales.

JAMIE
(to self)
Of course.

Jamie sets the coffee on the bench and jogs toward the crash.

EXT. STREET – CONTINUOUS

Smoke curls from the truck. The engine sputters.

Jamie approaches cautiously.

JAMIE
Hey! Hey, can you hear me?

The DRIVER groans faintly.

Jamie tries the door handle. It’s stuck.

Jamie looks around—no help coming.

Jamie pulls harder.

Nothing.

Jamie grabs a loose metal signpost knocked over by the crash.

JAMIE
Okay… I saw this in a movie once.

Jamie wedges the post into the door frame and pulls with everything they have.

The door CREAKS—

Then POPS open.

Jamie stumbles backward as the door swings wide.

The driver coughs, barely conscious.

Behind Jamie, a few of the commuters have wandered closer now, watching.

Jamie looks at them.

JAMIE
Uh—could someone help me get him out?

Nobody moves for a moment.

Then finally a couple people step forward.

Sirens faintly wail in the distance.

Jamie helps lift the driver out of the truck just as the engine begins to SMOKE harder.

Jamie glances back at the bus stop.

The bus pulls up.

Doors open.

Passengers board.

The bus pulls away.

Jamie notices… and sighs.

JAMIE
Great.

Jamie looks down at the injured driver they’re holding up.

Then at the growing crowd.

Someone nearby is already filming.

Jamie’s confused, overwhelmed.

CUT TO:

A PHONE SCREEN VIDEO – SOCIAL MEDIA

The shaky footage shows Jamie pulling the driver from the truck.

A caption is typed above it:

“THIS RANDOM PERSON JUST SAVED A GUY’S LIFE???”

Likes begin climbing.

Fast.

CUT BACK TO:

Jamie standing awkwardly beside the ambulance as paramedics take over.

One of them claps Jamie on the shoulder.

PARAMEDIC
Nice work.

Jamie blinks.

Still processing.

JAMIE
I was just trying to catch the bus.

The paramedic smiles.

Sirens fade as the ambulance drives off.

Jamie stands alone in the quiet street.

Then checks the bus tracker again.

Route 18: Delayed – 24 minutes.

Jamie groans.

SMASH CUT TO TITLE.",T,A,29
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,9,"FADE IN:

EXT. CITY BUS STOP – EARLY MORNING

The sky is gray with the kind of morning that hasn’t decided whether it wants to rain. Cars hiss across wet pavement. A handful of people wait at the bus stop, half-awake, scrolling on their phones.

At the edge of the group stands JAMIE PARK, 29, ordinary in every possible way. Slightly wrinkled shirt. Backpack slung over one shoulder. Coffee cup in hand.

Jamie stares at the bus tracker app on their phone.

INSERT – PHONE SCREEN
Route 18: Delayed – 12 minutes.

Jamie sighs.

A loud CRASH echoes somewhere down the street.

Nobody reacts much—just a few people glance up before returning to their phones.

Jamie looks toward the sound.

Down the block, a delivery truck has jumped the curb and smashed into a traffic light. Smoke hisses from the hood. The driver slumps over the steering wheel.

Jamie freezes.

A beat.

People nearby whisper.

COMMUTER #1
Someone should call 911.

COMMUTER #2
Yeah… somebody probably already did.

No one moves.

Jamie shifts awkwardly. Takes a step forward. Stops.

Jamie looks at their coffee. Looks at the bus tracker again.

Route 18: Delayed – 11 minutes.

Jamie exhales.

JAMIE
(to self)
Of course.

Jamie sets the coffee on the bench and jogs toward the crash.

EXT. STREET – CONTINUOUS

Smoke curls from the truck. The engine sputters.

Jamie approaches cautiously.

JAMIE
Hey! Hey, can you hear me?

The DRIVER groans faintly.

Jamie tries the door handle. It’s stuck.

Jamie looks around—no help coming.

Jamie pulls harder.

Nothing.

Jamie grabs a loose metal signpost knocked over by the crash.

JAMIE
Okay… I saw this in a movie once.

Jamie wedges the post into the door frame and pulls with everything they have.

The door CREAKS—

Then POPS open.

Jamie stumbles backward as the door swings wide.

The driver coughs, barely conscious.

Behind Jamie, a few of the commuters have wandered closer now, watching.

Jamie looks at them.

JAMIE
Uh—could someone help me get him out?

Nobody moves for a moment.

Then finally a couple people step forward.

Sirens faintly wail in the distance.

Jamie helps lift the driver out of the truck just as the engine begins to SMOKE harder.

Jamie glances back at the bus stop.

The bus pulls up.

Doors open.

Passengers board.

The bus pulls away.

Jamie notices… and sighs.

JAMIE
Great.

Jamie looks down at the injured driver they’re holding up.

Then at the growing crowd.

Someone nearby is already filming.

Jamie’s confused, overwhelmed.

CUT TO:

A PHONE SCREEN VIDEO – SOCIAL MEDIA

The shaky footage shows Jamie pulling the driver from the truck.

A caption is typed above it:

“THIS RANDOM PERSON JUST SAVED A GUY’S LIFE???”

Likes begin climbing.

Fast.

CUT BACK TO:

Jamie standing awkwardly beside the ambulance as paramedics take over.

One of them claps Jamie on the shoulder.

PARAMEDIC
Nice work.

Jamie blinks.

Still processing.

JAMIE
I was just trying to catch the bus.

The paramedic smiles.

Sirens fade as the ambulance drives off.

Jamie stands alone in the quiet street.

Then checks the bus tracker again.

Route 18: Delayed – 24 minutes.

Jamie groans.

SMASH CUT TO TITLE.",T,A,29
Chatgpt,A,Write the opening scene of a movie about someone who unexpectedly becomes a hero.,10,"Opening Scene – “The Day No One Expected”

Rain taps lightly on a row of aging apartment windows. The city is just waking up—buses groan to life, neon signs flicker off, and the early sun bleeds through a low gray sky.

Inside a cramped studio apartment, an alarm clock reads 6:17 AM.

It’s been ringing for five minutes.

A hand slowly reaches out from under a blanket and slaps it silent.

We meet MASON REYES, early 30s. Tired eyes. Bed hair. The kind of face you forget a second after seeing it.

He sits up, staring blankly at the wall.

On the wall: unpaid bills, a grocery list, and a sticky note that reads:

“Remember: today matters.”

He sighs.

MASON
(to himself)
Sure it does.

Cut to:

The small bathroom mirror. Mason brushes his teeth while scrolling through bad news on his phone.

Headlines:

CITY TRANSIT STRIKE LOOMS

LOCAL FACTORY CLOSURES

POLICE SEARCH FOR ARMED ROBBERY SUSPECT

Mason scrolls past them like they’re weather updates.

None of it has anything to do with him.

He grabs his jacket, keys, and a half-eaten granola bar from the counter.

EXT. CITY STREET – MORNING

The world moves fast around him.

Cars honk. Cyclists weave through traffic. A street vendor shouts about fresh coffee.

Mason blends into the crowd perfectly.

Invisible.

He waits at a crosswalk with dozens of others.

Next to him stands a little girl holding a red balloon.

Across the street, a man in a dark hoodie exits a bank.

He’s walking fast.

Too fast.

Mason doesn’t notice.

The light changes.

People step forward.

Then—

A SCREAM.

The hooded man shoves past the crowd, knocking someone down. A bag spills open in his hand.

Cash.

The man runs straight through the intersection.

Panic ripples through the street.

Cars screech to a halt.

People freeze.

Except Mason.

Not because he’s brave.

Because the thief just slammed into him.

The bag tears open. Money scatters into the air like green confetti.

For a moment, time slows.

Mason looks down.

Looks at the running thief.

Looks at the terrified people around him.

He could step aside.

He almost does.

Then the little girl’s balloon slips from her hand and drifts into the street.

A truck barrels toward it.

Toward her.

Mason moves.

Instinct. No thinking.

He lunges forward, grabbing the girl and pulling her back just as the truck blasts past.

The wind whips his jacket.

The balloon pops under the tire.

Silence.

People stare.

The girl clings to him.

Across the street, the thief has stopped running.

Because a police car screeches around the corner and blocks his escape.

Officers jump out.

The crowd erupts into noise again.

Sirens.

Shouting.

Phones recording.

Mason stands there awkwardly, still holding the girl.

He looks around like someone else must have done something important.

But everyone is looking at him.

A man nearby mutters:

MAN
You just saved her.

Mason blinks.

He didn’t mean to.

He gently sets the girl down.

Her mother rushes over, hugging her tightly.

Someone claps.

Then another.

Then more.

Mason takes a step backward, uncomfortable.

MASON
No, no… it’s fine. I just—

He gestures vaguely.

He has no idea what he just did.

In the distance, the sirens grow louder.

Mason glances at the sticky note still stuck to his jacket sleeve from home.

Today matters.

He pulls it off.

Stares at it.

For the first time all morning, he smiles a little.

CUT TO BLACK

TITLE CARD:
Sometimes the world doesn't choose a hero.

Sometimes it just bumps into one.",M,H,30
